crypto_id,currency,current_price,market_cap,total_volume
bitcoin,sats,99990663,1985337144798666,24661131333100
bitcoin,sek,910743,18078864582713,224620377116
bitcoin,sgd,123505,2452774562125,30460560003
bitcoin,sol,646,12828982111,159360753
bitcoin,thb,3153467,62591351228943,777753357675
