crypto_id,currency,current_price,market_cap,total_volume
bitcoin,czk,2072232,41148740045480,511083484905
bitcoin,dkk,620519,12326782628360,153041264418
bitcoin,dot,23036,457115798319,5681474300
bitcoin,eos,138446,2748883696851,34145456012
bitcoin,eth,52,1045926661,12995854
