crypto_id,currency,current_price,market_cap,total_volume
bitcoin,php,5282456,104968069948599,1302835003174
bitcoin,pkr,26591063,528147112445585,6558269403721
bitcoin,pln,355505,7053527751940,87679769073
bitcoin,rub,7733631,153595260374801,1907378866521
bitcoin,sar,354859,7047359459623,87520513481
