crypto_id,currency,current_price,market_cap,total_volume
bitcoin,bhd,35656,708190603008,8793960346
bitcoin,bits,999907,19853371447987,246611313331
bitcoin,bmd,94596,1878858457651,23330734272
bitcoin,bnb,156,3114874149,38675176
bitcoin,brl,532029,10566136308290,131216715690
