timestamp,prices,market_caps,total_volumes
1736355836904,94742.14733612606,1873878999056.003,59776602466.52256
1736359440720,94130.65825495949,1862387541424.7922,66213478214.181145
1736363309738,94214.6539490834,1865868153073.0461,62853123828.20821
1736366629213,94222.93830354116,1866946170631.9082,67042751833.33765
1736370504820,94118.38414972041,1864393844884.1404,65912779861.21625
1736373840926,94477.56220375413,1871193225370.6936,65269199507.85605
1736377428617,95292.19594677552,1887121677861.9397,66556370973.44118
1736381033489,95031.89727927743,1882516398360.0034,41627064961.76246
1736384617169,95105.94661602686,1883408684096.727,59472584472.78908
1736388033912,94981.77510307213,1881679585515.4204,59010868563.618614
1736391675185,94670.15165914538,1875184660057.9075,51099590688.459656
1736395426521,93973.42069248288,1862720867153.0483,67126371606.26339
1736399038895,94371.14988852509,1869861198884.6638,66197277601.02123
1736402617549,94413.64147771963,1870295415563.5244,59509512523.70988
1736406225682,94045.29022306183,1862411511976.5574,52805945228.18265
1736409829668,93181.25750394873,1846568797231.0664,52008983139.99727
1736413414112,92983.14270516166,1840886644888.4011,55862592179.59002
1736417024955,93491.25888436915,1850833132431.0393,66219068212.53107
1736420625115,93395.83535425988,1850328062562.536,53103391843.64574
1736424220439,93397.66850377186,1850935549640.9333,55990849766.493324
1736427666950,93364.89605317505,1848953474464.5618,56584975286.26363
1736431296043,91925.57782676253,1822284048033.1719,59483304339.34927
1736435015774,92745.1184717717,1835207063479.0063,62152612946.38142
1736438630283,94561.4894565884,1867861383188.5261,66765098309.38552
1736442229596,94224.83975755278,1866015749219.612,62076432033.00801
1736445839556,92662.36025731087,1836961023143.0703,52698289898.03103
1736449332001,93043.03727491375,1842194447793.4387,57102847715.981674
1736453027451,92041.9420888766,1826645254666.638,44597296877.72101
1736456624764,91914.30519556114,1818692180231.2852,58458570953.13586
1736460504136,92281.42649677649,1824059791874.7705,64660708927.9545
1736463648806,92449.05943331719,1830104683405.4966,61121339297.256584
1736467239493,92376.27578346101,1832933628117.9436,65850881574.76184
1736471033006,92750.12255307917,1837199430292.5674,65417335463.10817
1736474563955,93006.12875184679,1842890595064.614,66364615515.83203
1736478154659,93320.2434117482,1848202205338.02,60528484141.28536
1736481827256,93710.88128860826,1855537295311.8474,62701975954.576904
1736485435820,93800.12976037012,1857848712460.4507,55916373105.27283
1736489019993,93933.23991472083,1860650297116.129,38080611783.897224
1736492621459,94162.5651957081,1864519088930.2183,59650623922.680626
1736496235667,94550.76661253635,1875539799591.5144,64646138545.57778
1736499608021,94683.1532934011,1875879212743.732,59368813797.540436
1736503422796,94791.497381677,1878004150196.1667,61636188261.61035
1736506987644,95039.77578576424,1880944082826.9817,62295620478.387794
1736510442892,95027.59771977237,1881416403194.7012,62224488718.748184
1736514221727,95033.36476789693,1882630394826.527,51442706254.40438
1736517833820,93543.97537165566,1856169039446.1377,58762933734.12211
1736521430501,94051.08752659352,1864011241804.96,64145243557.71013
1736525040729,93659.10392114127,1858129089046.7358,62609359399.362724
1736528494127,93770.27997835191,1855488224771.1523,68870958464.29306
1736532249105,95798.50871308251,1891004054255.9502,60859470256.63504
1736535835243,94841.516564267,1880457799299.7246,68645127293.62365
1736539715312,95288.32957386163,1887900268996.4639,67035193784.669106
1736542857667,94749.6380033532,1877663916926.3174,64296425112.49141
1736546623920,94615.50274968399,1875931312241.2288,66634187551.336296
1736550181396,94761.41483693405,1876065459958.239,60823054001.58968
1736553633007,94736.6267420969,1876836759923.398,63433655716.757095
1736557420594,94588.12034376372,1872144003103.717,62799837160.42091
1736561041668,94409.84496898168,1870213068014.316,62070258398.66949
1736564461767,94439.39456775342,1870680065563.5222,60917668882.25542
1736568216735,94180.36567762114,1865439261807.3606,59497432424.91805
1736571660898,94046.21843762376,1861895245510.9355,59359335007.16855
1736575423768,94385.44798943955,1869382021081.7224,58181905586.57474
1736579015047,94246.67844372314,1867782268324.2993,57167543506.020515
1736582613528,94214.66493661447,1865781808175.325,51712777635.058
1736586227495,94005.11402214876,1863696108336.731,54644582448.47057
1736589837184,94323.92594621287,1867719980758.4575,53267016428.14993
1736593622769,94480.35066525104,1871526969960.6663,52109964021.83879
1736596998529,94587.61213624186,1873501023785.7747,51886063479.09844
1736600910195,94554.37202319445,1872372030244.0679,50506238756.4382
1736604219213,94391.54571357903,1869662249856.726,40939350613.58238
1736607663477,94595.55172876698,1872643389220.553,40110205943.234726
1736611273399,94373.32093729395,1869458263173.5715,29932553974.872257
1736615026342,94411.91553453926,1870147418329.6677,15794729480.498713
1736618629164,94090.32522828647,1863609299425.4246,25929288694.17721
1736622228459,94236.98647243754,1866909849689.5427,17806336068.069622
1736625825187,94202.518354446,1866091516395.944,19683239875.5187
1736629434340,94561.03444332824,1873134331740.76,17765021600.97453
1736633033461,94908.52887829034,1881196409414.0674,16804106542.911041
1736636747210,94565.96347474444,1873831059758.7327,14612786151.449457
1736640239772,94572.19295828749,1871901896675.135,17731557529.922108
1736644111557,94342.7718499486,1869789909434.8354,17612762957.40514
1736647419228,94536.89752196113,1871979664509.813,17699230680.0201
1736651027648,94598.60594893617,1873857592184.2798,17128330563.65476
1736654497214,94565.80576126037,1872865964497.5713,16179245419.003897
1736658019278,94473.51645693358,1870923378951.8914,15516120749.913023
1736661636633,94488.70417581518,1871791935764.283,14077769541.938314
1736665424892,94379.41910441955,1868849742385.3389,16302275777.89242
1736669045366,94269.08776026823,1867785548674.811,16104174376.791582
1736672637243,94120.71507832203,1864378164986.451,14620620398.159681
1736676070265,93857.34535112529,1858828933602.5781,16650379155.195889
1736679787228,93973.60002136382,1861706823038.6902,13985279249.788408
1736683381203,94203.80630265319,1866698040914.1018,15684752771.492273
1736687023210,94255.24861633297,1867701904780.6465,17168635961.03594
1736690562083,94612.20014403955,1874108879054.9343,14764406461.72982
1736694517730,94762.22675114391,1877086946518.6628,16254301870.46889
1736697820915,95011.90335368075,1881988660432.1865,14520759539.505108
1736701413133,94940.61616931802,1880193504486.3022,17680136553.271294
1736705025341,95116.66736517011,1884326082882.5728,18761997474.97569
1736708819760,94918.71731944467,1880951693768.6829,18899364201.297726
1736712225476,94576.45970517748,1873980953435.7957,16908815156.221811
1736715833852,94657.53871057613,1874662001528.3662,17519276953.260574
1736719442372,94290.51967369077,1867610564007.201,17178076659.898485
1736723023099,93873.37040550246,1859074504884.5586,18990195890.991276
1736726436404,94454.77089638807,1870314882306.9236,19608932595.53299
1736730244515,95230.50136357336,1888177016590.0698,22093204642.369175
1736733798201,94129.18563934106,1864488668383.499,21637677987.858166
1736741019288,94124.68513319505,1864719945065.6326,25920424360.28362
1736744650854,94466.35491829069,1870730018652.5925,26294147194.923447
1736748223466,94137.938359676,1866254202658.3599,26625091410.36451
1736751763832,93330.90109420891,1848844898565.1619,24595811426.891106
