timestamp,prices,market_caps,total_volumes
1738940589508,99606.01843437883,1977551816778.1816,52107561086.88309
1738944253816,98081.80812585702,1944762847689.565,51217455745.6655
1738947832752,97880.47132241819,1942371025482.0554,56326078097.331245
1738951463151,97416.13593512993,1934229441321.1108,57442106786.21046
1738955045117,97758.33738706807,1940868581974.573,53562454458.88723
1738958654604,96896.28982042264,1922299307168.9988,52541123983.63478
1738962222904,95746.87395405429,1899127950567.1765,56984028906.25164
1738965830336,96040.13865031378,1901476808580.8726,53811499315.18562
1738969442331,96108.29568062663,1902251003510.893,56879988980.40387
1738973044306,96558.4563096667,1911296376425.356,57077722340.22422
1738976656292,96670.89656751913,1915456774377.0676,54275625601.30127
1738980255147,96548.21819135682,1913869501490.7144,56394933048.741264
1738983824400,96786.35922159553,1918562431283.455,50064787809.72729
1738987425095,96713.24797153489,1916990249759.0955,54868430326.46576
1738991051997,96320.34813679579,1909146916198.783,52603351791.539444
1738994646448,96154.76117032336,1907008432297.584,54911182944.88288
1738998229795,95952.52432602612,1902203504065.374,54230777971.19762
1739001840625,96223.7407871112,1908554459881.2783,48877961713.68644
1739005427457,95905.61306579997,1901957038104.5386,49835735211.81784
1739008954123,96095.3786132481,1903857164426.553,33779012281.34095
1739012623068,96039.32910256689,1903760064179.5105,50214106922.782135
1739016248355,96003.7579365969,1902611374172.639,48519612817.70902
1739020125465,96087.21179559056,1904605186076.5173,47569291077.40405
1739023432395,96218.75936833651,1908475267913.714,45665493929.15969
1739027036703,96072.01389415626,1904386214945.3662,39283879483.27032
1739030631360,95836.79513855922,1898427935868.06,34918779522.04886
1739034248165,96168.08067753738,1906187955165.2336,31875390298.452736
1739037836480,96355.02099871126,1909239776753.684,28794818586.082424
1739041464996,96518.94915955854,1913156543697.5225,30442540403.465054
1739045041049,96645.85029878837,1914563536752.8406,26942398096.454567
1739048651842,96484.13257174032,1912711321081.4639,25714366487.092205
1739052227816,96501.1504913647,1912576925841.0989,23107198698.432243
1739055830607,96487.0543625433,1912518704714.4302,17309338168.577934
1739059457343,96454.44602149501,1912742717871.6714,20932503231.866684
1739063029419,96569.42155748123,1914144678004.04,20981661059.98133
1739066628177,97011.60027792904,1919341614158.239,22300055938.266335
1739070233688,96779.30602990102,1918552782939.359,22065219206.383408
1739074120312,97259.00138784561,1928991479028.1665,20585553113.938736
1739077432099,97267.4076648532,1928291799235.9827,23244550689.437756
1739081037204,97046.2789388488,1923427493683.4175,19864425680.990257
1739084629412,97028.92076912236,1923312604412.956,21122295067.019207
1739088248033,97117.2428080168,1924237068808.4802,18280665751.130898
1739091832948,97108.03391440804,1925288087697.5227,22060758822.330208
1739095434094,96890.28323028823,1921409730716.0417,21946827190.285763
1739099037408,96808.57964192933,1918546778372.9604,18838000900.018387
1739102750891,96603.27364795694,1915330393756.7566,22748791215.609726
1739106232621,96550.38390104315,1913712225325.2095,22870617866.118927
1739109836421,95906.49171654721,1900675686548.407,19310317195.125618
1739113446468,96162.13377205859,1906106926795.6362,23728640906.73392
1739116869843,96498.54652003417,1913813618179.823,23579923703.93695
1739120652396,96458.06093493411,1912661115505.2324,23429213696.988644
1739124531218,96125.10211989976,1904378656917.0105,23331648361.121193
1739128126829,96218.25827497702,1906928203540.1707,23036708422.72594
1739131431775,96096.82739593633,1903828632107.1768,21356462271.22973
1739135033818,96325.2632461819,1908216372369.6587,23209059872.5124
1739138632847,95340.48294665758,1886981719580.8208,25510285898.292694
1739142183213,95841.1801230943,1899681798074.2817,25191329921.97537
1739145852806,96519.99549282841,1913864166395.361,25697652234.320942
1739149449496,96766.93559529584,1917841613974.1616,25354766674.198795
1739153024925,95524.22026320195,1892656435995.069,25417575362.88839
1739156437956,95821.87762306974,1899149768357.3105,27609000168.191387
1739160221360,96805.44643078477,1918269253818.0906,25810054598.26094
1739163860006,96961.36839920148,1921358328080.2776,32774998964.8579
1739167362650,97071.92621073166,1928930417984.2683,34632428227.22591
1739171055757,97151.54613521088,1924790403771.4248,31070602337.694397
1739174833748,97464.14633368152,1931287479605.011,35425573682.77953
1739178227056,97701.28028726348,1937560385964.8298,37427365008.18969
1739181684403,97510.84742833716,1932225880653.2375,37704157728.473434
1739185469824,97730.66462298081,1937412708361.842,38583089432.12534
1739189052943,97731.48183582605,1939341021292.1616,38921302935.18796
1739192640182,97403.90940767614,1929657215859.9976,36270590027.48066
1739196267572,98334.08502172824,1948986595316.6543,34301086244.4831
1739199847909,97346.47301436782,1929839505775.869,40588055641.04282
1739203437314,97251.75237452232,1927728467018.2703,35504283777.21286
1739207057780,97303.13910111328,1929453970702.2773,33154955947.82968
1739210642921,97523.71433146537,1933277099137.5505,35329189335.16302
1739214523736,97585.55088034495,1934308501124.7957,42356934588.79209
1739217873853,97367.3655911921,1931178008597.118,44764263708.92695
1739221437706,97343.1682807978,1929884960319.9573,43104322310.41142
1739224851728,97398.42007998587,1930827914741.7715,42778213423.536804
1739228631098,97390.4434974332,1930669526541.8044,40268514005.312454
1739232196889,97465.03795561657,1931524441475.5403,39624814322.33576
1739236131459,97996.74379122132,1939823001070.9834,39637135442.290306
1739239440545,98062.17536313026,1944110052449.4038,37671396341.51483
1739242931821,97840.1754897783,1940230868576.669,31399695755.728317
1739246647829,97607.9294183258,1934759112630.5676,35700859618.30299
1739250252556,98044.67328804094,1944103539232.3955,33929758357.091007
1739253838166,98467.0013054058,1952938766277.0095,34397015197.978745
1739257466923,98423.6912281288,1951670998494.2393,31354307815.116634
1739261037944,98291.91112214026,1949024000008.1328,33464191867.445045
1739264648177,98271.14915988536,1947149039025.9956,32385499035.88515
1739268251776,98047.45718678787,1942685294381.383,32335813511.28321
1739271827853,98009.83713490752,1942846650020.973,28970624371.076366
1739275460249,98146.26604694665,1945690378462.5784,30559256100.71597
1739279035918,97785.0383083442,1939412178902.4634,31028473737.089172
1739282646434,96938.19708318585,1921592052061.887,30814095723.90075
1739286227119,96977.78556048905,1923160149897.2163,28095282270.18622
1739290027324,96889.91975757855,1921026643636.1772,30570938831.747387
1739293459151,96315.37542059057,1909508836545.673,30683591187.481007
1739297059864,96084.83930864246,1904387673666.3862,29908172785.70353
1739300824093,95551.77083156312,1892425319235.3171,28386667867.09025
1739304179012,95017.42507160608,1883722067610.7273,31111418200.1038
1739307848503,95303.46815226416,1888778756700.6545,34639249253.16455
1739311459586,96328.03689038444,1906733467557.1008,35243866069.22306
1739315063283,95561.70494164275,1892098465778.7751,36339421755.373985
1739318644920,95743.13972459143,1897962292582.8396,36217275431.85843
1739322050639,96077.33083493997,1905064630847.8335,31188479057.54265
1739325850902,96150.97841210228,1905793039265.278,30959230038.088356
1739329312354,95535.57535709743,1893512775501.8704,36250038613.73426
1739332983459,95372.30093011959,1890568077879.0894,37068679718.48957
1739336630149,95508.78766861194,1893284958368.6555,34324627246.21348
1739340252696,95862.97586573691,1899975990134.7463,33132226397.972836
1739343849592,95809.99388128315,1898857740169.548,32932229525.341328
1739347303765,95946.08824913332,1901853632813.7815,30233887925.408043
1739351070071,96281.23094009243,1909641072098.612,36230486128.091805
1739354612376,96126.64137548784,1906305859804.048,36421346279.85789
1739358244437,95982.41228195447,1902544909264.5798,30625625085.82217
1739361846062,96108.54335491334,1904134221009.5205,33133583841.205208
1739365448493,95918.14912302299,1904362361406.3875,36907872128.08934
1739369049506,94907.03940613412,1878254181626.6978,35169286210.106224
1739372655421,95383.62955535506,1890812580746.8967,39019781006.7105
1739376230406,95853.86268315182,1899051463740.9355,46381111559.90415
1739379866154,97131.40302480535,1922172087503.7979,39694721405.60746
1739383456791,97372.92506928637,1928381640133.7407,50148303590.0775
1739387040157,96927.40233152782,1923420240392.1614,49039647383.004074
1739390942782,97041.14442247873,1923676300476.9893,48500243045.26295
1739394271577,96953.21159837977,1922025780799.5203,48529257288.85076
1739397846802,97581.66121244403,1934759858111.789,44794774468.09467
1739401470772,97917.74883920769,1939519916877.9893,48425213977.48271
1739405059716,97886.93195784716,1940385592431.8413,50369860070.37656
1739408642071,97822.8847791465,1937474539000.2166,50468333161.9236
1739412261301,97984.76780314116,1943575073008.436,50242884557.82895
1739415865132,97482.69236537757,1932298631694.3594,38578065779.12365
1739419450538,97545.82090794371,1934917781157.13,46015617778.3396
1739423047599,96884.50484747115,1920219920499.3586,45769104406.88777
1739426673632,96702.94414130866,1916437639205.5273,46888575960.023
1739430220197,96045.87665482667,1904271263446.6538,48000653682.65004
1739433852989,96036.93855574471,1903836699556.5654,48223428320.83907
1739437457948,95893.42457979695,1900732310089.25,50217651502.55278
1739440825788,96255.72778377474,1908050392577.5342,49001805102.99907
1739444654032,96139.62356455375,1906010494028.1,51243222498.3022
1739448240551,95946.82224702308,1900463288623.3372,51507770285.089584
1739452132578,95767.65830889478,1898452432836.9238,51259526084.777016
1739455462419,96113.53673267111,1905375376896.9307,45129686456.497375
1739459050462,95878.64612431273,1901286667528.4622,41106852483.17892
1739462639822,95917.38358350989,1902862042878.9707,44110184347.51042
1739466031421,95458.140300641,1893428438142.0635,43864467742.57989
1739469854750,95637.78525555778,1895779045483.6616,40591327962.89098
1739473434469,96003.14980785846,1898655133449.0159,40380946896.67321
1739477346939,95782.51396129551,1898079063827.7324,40278854186.601265
1739480641322,96300.0609397171,1905121040372.0637,39965005522.61664
1739484441359,96497.23557421484,1913554681077.215,38758315804.2621
1739487705959,96374.20669516998,1910506638170.8984,37851333295.0051
1739491706474,96666.70960779543,1916291112330.9202,37085070163.58575
1739495058947,96828.89943203412,1918588343847.5007,34548092069.91561
1739498639693,96532.5779782049,1915283460656.6287,36812567404.516106
1739502250767,96579.33951604052,1914661522819.106,36690774756.57478
1739505865171,97152.49941358573,1925489923436.099,31964977730.714203
1739509455695,96779.1732418888,1918419069276.3125,35174669064.43306
1739513067249,96703.60390210796,1918170279373.3997,36028439026.26637
1739516419209,96772.32613035057,1918266051736.034,31995644605.267014
1739520254366,97004.55038734362,1922996607010.55,31237979211.523098
1739523860803,96886.55281117093,1920776671867.3066,27729957440.069016
1739527453742,97140.50472343343,1926077759757.2002,30437066846.788654
1739531054630,97031.12535349325,1923609094272.3853,27206257310.40074
1739534649226,96901.61280060273,1921086597210.414,23917464254.35174
1739538215410,96674.16542518875,1916222634187.073,28818030813.68744
1739541856536,96817.72457029505,1919287960509.4197,28270830592.701797
1739545448030,97324.06933798644,1932120496106.3623,26735585631.783546
