timestamp,prices,market_caps,total_volumes
1741521801493,85036.72284003632,1685309255973.485,15738426352.572817
1741525789477,84685.97978656797,1679620171123.259,16412388801.123829
1741529378579,83332.0655384259,1659837325954.614,17140344449.946768
1741532993965,83574.5108562199,1661200644452.6824,18680912408.534866
1741536147130,83052.85746851926,1647367452604.4727,16703618878.574768
1741539887921,82556.83567815712,1634063957931.1772,20855568526.423393
1741543772873,82584.92274538855,1633755471579.7556,22687296341.169598
1741547228861,82470.08205523597,1637958272140.6055,24468139849.257023
1741550688983,82654.8713552498,1637103180905.5845,25268133573.750854
1741554289758,83065.63858118771,1644922341314.5542,25948485652.791164
1741557717639,81876.58012977014,1623909810300.5576,27355680037.257572
1741561764782,80182.87188781645,1595392896143.8347,27325944895.641483
1741565156716,80674.95605846473,1598830805325.7644,30215020198.266373
1741568692018,81296.78489902265,1612109638348.7834,31118171095.402702
1741572498322,81585.60219948366,1617799920017.2156,36348899421.11769
1741575870203,82153.9633762446,1631874713670.7876,37312994252.75005
1741579783365,82275.77503867827,1631918273266.3381,39043134023.19929
1741582871568,82594.63758054533,1637300957754.8977,39078573842.42203
1741586594886,82318.71368767633,1633035751439.2087,39273219992.18651
1741590277855,82358.2750533279,1634221395423.4275,37211771619.97821
1741593896102,82343.42704338364,1632311295805.3704,40472854457.761986
1741597361882,81313.3266600055,1612188695620.7915,39306176612.57209
1741601384132,82487.28911920935,1636576819923.021,40753078032.13382
1741604986110,82429.6316250025,1635787613329.6687,39448653776.391304
1741608363868,83620.17030648564,1659816748071.0522,43524802986.576065
1741611891946,83263.6093863294,1651426406238.8325,41595634516.79688
1741615707016,80589.75308067302,1615351745705.0684,47612671561.56004
1741619144084,79367.30394685987,1574270360366.558,48134580523.782875
1741622690724,80035.9520312988,1592550731004.6985,50701233204.36553
1741626288287,79195.70533532878,1570402996500.5483,47774634608.88061
1741629699725,78538.34915812933,1552847076812.5188,53128313686.70479
1741633485249,77494.5999450215,1557565270770.823,54034077466.56035
1741637332201,78880.11223709627,1561358256491.4446,57003622005.05825
1741640683016,79366.4867385192,1579618697410.3643,57229633755.39629
1741644373338,79473.53229603526,1575125458057.242,58931143921.08885
1741647877499,79505.93316264477,1580492621822.0017,58190267365.77554
1741651486566,78537.05805794513,1562520027359.2979,56456261686.39293
1741655136450,77186.92631492284,1558077898084.2305,52989205716.43158
1741658616428,79080.26510244102,1565911898516.3586,59696372764.66558
1741662584099,79348.17308679354,1574789469732.6104,58302944523.954895
1741665892436,79475.39891601757,1578506494412.2424,60260802172.27767
1741669322474,79779.07033567471,1583541563648.2844,60590895945.02616
1741673125747,80271.29118843551,1592160440655.731,55598658484.82086
1741676994603,80305.86988849436,1591699226429.506,60661021527.27272
1741680593415,80428.12261085547,1594152047202.5403,61373977816.44833
1741683864174,81207.40156455616,1609188187417.937,62916104037.44204
1741687271265,81494.18849077556,1618237464130.7434,58380569868.477455
1741690887631,81788.49157040409,1621498008250.4285,61726666789.13417
1741694988503,81525.57519757233,1620495623079.486,61249872380.51666
1741698186137,81136.77348524275,1620495623079.486,57869930129.09117
1741701885337,80881.78302235727,1604342120926.188,58264100618.50261
1741705496277,79828.50693030546,1583624889019.5435,56939951111.18562
1741708961900,81232.56177617155,1617136155278.8406,63648569829.58226
1741712548324,81217.85170939227,1614983696125.2224,63090822357.89643
1741716297732,81336.13046672981,1611967978114.0322,61338244412.39345
1741720114019,83185.92996285958,1611967978114.0322,58962324262.25423
1741723786071,83019.95454728934,1646357825438.7378,57276614522.32379
1741727092582,82804.22144356178,1642698280754.1138,54617591123.309944
1741730727043,83196.76104395698,1647827852679.5188,57639954371.51776
1741734083248,83157.48605838082,1649912057361.183,56991396254.73114
1741738184594,82753.77759522418,1643023053437.441,56316616634.57754
1741741545444,82751.87792950893,1643023053437.441,52449578634.893814
1741745097366,83297.33630586542,1653926040665.8442,51045563100.66663
1741748981580,82338.26682572266,1633187893020.512,49764550042.80338
1741752571727,81766.78389449522,1628213018604.6028,50156911296.57301
1741755804218,81754.1245019308,1622710501589.94,43715602951.05303
1741759491939,81962.70572429236,1625630800406.2834,46908704666.95959
1741763398117,81450.3753315832,1623779253097.341,42756879589.21258
1741766799156,82626.00983988849,1635848046999.2983,50092296685.358696
1741770588883,82867.53648272774,1643987368948.9685,50115284394.732216
1741774072316,82561.32217876334,1637780359843.864,49302920992.15834
1741777297287,82486.2091764555,1636355638969.2954,40619780553.50552
1741781052948,83005.6112865534,1645276537845.3176,46269437747.597374
1741784981796,83969.50401830622,1646995380806.993,45979407008.141594
1741788292821,82566.35571707349,1641287380096.985,49550026977.62093
1741792202168,80869.73779222043,1608411497013.9143,44657965444.45162
1741795814350,81943.80956736875,1621024605077.7349,44665089353.67604
1741799398794,82134.7668472382,1626680227250.319,41143783613.14508
1741802435175,81756.64455396934,1626717766706.342,45047543676.659676
1741806890099,82749.3005623581,1622092473377.789,43102947974.477486
1741810182888,82714.73111902464,1642896808511.188,42141892996.65534
1741813207721,83030.39791191753,1646989893585.6233,40012623684.25763
1741816844905,83052.15476723097,1645215739109.4312,41604247147.76983
1741820531954,83667.40552069119,1659818900693.3718,37891271142.81455
