timestamp,prices,market_caps,total_volumes
1737003823614,99587.38224559338,1972520850183.617,56938368200.57973
1737007429162,99368.90225582317,1968321821767.347,52654423054.34566
1737010857149,99764.60640651133,1975927141098.0781,57389099721.976395
1737014623013,99739.74868905671,1975878369086.2832,40998344029.59592
1737018218351,98969.27851480305,1959328838658.9607,56362114208.60304
1737021744345,99119.30544691836,1964448061636.3015,51342878731.90434
1737025358884,99175.81276396391,1965631930974.317,54032511345.08572
1737029016027,99136.88555434979,1965261842828.0022,54600456660.39688
1737032636181,99365.30032161868,1966923141558.986,54881816194.34834
1737036228635,99020.76827900368,1964091784657.153,54078842417.38008
1737039785125,97532.25346033007,1935212634188.001,46961159327.269745
1737043418453,99184.80509513128,1958483711250.1367,54553755909.26403
1737047194563,99454.01193663836,1966385012199.5886,55122733572.38482
1737050487857,99946.48723935365,1980146193242.8196,55994460379.97592
1737054221908,99556.10838859396,1972854550525.4294,50858608770.17601
1737057689439,100377.75137459932,1986118961222.0657,55526652239.053246
1737061423180,100376.57643817428,1991322028519.0754,54078570283.34636
1737065035443,100078.78309833872,1982369720414.1382,49908114867.23038
1737068824001,99877.5171161229,1978133831717.9255,49249747582.6554
1737072233435,99977.5043880182,1980659938171.2742,53728922574.984924
1737075816865,100136.85201437982,1983953974877.8765,41948832095.320625
1737079413821,101711.2074763743,2011842957781.616,53732031899.93513
1737083025422,100922.94387590281,1997644911896.5718,56118088333.10613
1737086611839,101017.72621672494,2001190076300.6987,56541317765.815865
1737090217991,101472.95109233055,2010311343297.4495,57133062314.44377
1737093839276,101323.58976179131,2008309655416.738,57656428841.07616
1737097427776,101379.5988448226,2008685553616.7715,53753105192.92653
1737101036365,101529.03229986163,2009060833331.563,58981941973.69919
1737104915792,102125.38053312013,2023649998086.5833,46101083693.71021
1737108219901,101924.67840754567,2016659544613.4993,60133029251.44781
1737111813572,102243.20379737619,2026465581986.2952,60327140023.19474
1737115283197,102254.35493395521,2025628381257.3916,60589392046.687256
1737119010074,102766.20386573607,2035927179477.985,58817350446.75142
1737122909520,102659.3182258968,2029210911485.0142,61846462792.83809
1737126237720,102994.50779036949,2033145082093.0085,62675069539.76769
1737129819503,103992.60133717468,2060300327855.2224,59514714969.567245
1737133292048,105079.04362992843,2080471058297.0427,65821747919.92568
1737137021171,104135.15109877157,2062534445624.465,56983513867.97742
1737140518430,104869.64731855925,2078977401424.5515,68623104972.08224
1737144239254,105850.05041675539,2095616954361.4414,69881824915.91069
1737147682323,104720.97204550826,2078262592703.7397,73205116175.00093
1737151431399,104604.0491255822,2073029117143.4546,72606422150.96301
1737155037627,104347.54717350486,2071033428678.8525,73594889513.65302
1737158640175,104125.16350264964,2063314453353.0774,72910277620.28831
1737162240544,104649.37697946737,2072932273230.649,69392988514.25414
1737165747845,104302.30585740918,2066320753537.105,64326912125.96799
1737169422984,104270.12396931878,2065018740724.546,67200758977.4865
1737172884645,103595.00034193484,2051883055884.3242,54630222018.220505
1737176625747,103572.13908788774,2051543881740.6218,69276805476.9999
1737180235382,102721.6188330088,2034729095402.9958,69927354345.33456
1737183841127,103403.60335414654,2049263978728.5176,70968671376.24934
1737187440917,102777.51756053416,2034216296024.4001,71165737345.89218
1737191314322,103267.53002630705,2045981742282.949,70521250139.52452
1737194617967,103164.20680427943,2043572701730.125,66153647383.22255
1737198227737,103119.47099954754,2043368801849.5593,57046168798.80917
