timestamp,prices,market_caps,total_volumes
1737648215575,105232.58350232254,2081794734434.319,79133509006.42305
1737651764470,105174.05793380646,2087461813784.183,79173978004.61972
1737655423949,105928.72626806023,2099654473435.1235,86236562446.15205
1737659303726,105191.8127327177,2088098136408.2039,89127462476.23912
1737662493542,103770.54132314972,2047596753176.5142,85419955533.17697
1737666526584,103209.18071494896,2041422259814.3916,85063385236.14105
1737669831478,102970.65650816544,2034259977477.6748,109638885842.44633
1737673431212,103996.38358573921,2058765535087.8228,107915731945.21402
1737677014402,104067.60991206947,2062360759045.0,102455227371.20761
1737680620648,103434.51990433177,2049661979935.93,96529017651.93845
1737684107728,103076.00196581223,2043588365132.5962,109128797916.93205
1737687817238,103007.08090172919,2041249931897.0552,102252610596.68776
1737691425015,103996.44661167011,2058535373518.5586,106686294694.14355
1737695015112,104619.85404136483,2070089024796.6743,107335857671.58276
1737698614323,105272.24517544167,2080803732365.3274,107368518180.79544
1737702504397,105139.69976015505,2079965905549.398,106541346479.01193
1737705823044,105052.05466479034,2081706986713.5366,103539667190.15005
1737709251185,105525.55511099196,2087822226203.5288,101419707986.19122
1737716618650,105260.18282658844,2085719313380.9778,97150334340.0336
1737720223938,105462.11123381382,2090101707482.9849,90928294279.42918
1737723830044,105540.321482502,2089782411911.3213,99716133133.37604
1737727418683,105130.34603584596,2084858855901.5273,92790285803.5726
1737731019191,105859.7275241652,2096890201954.4917,85220402114.15976
1737734621667,105950.67934141024,2098767095967.58,74907016780.54788
1737738215526,105673.01827900164,2100657482585.0293,76451881524.59409
1737741833500,106462.47510536018,2108754664613.2773,74999221406.48251
1737745251731,106270.02361618343,2101994901022.3337,75646625923.03722
1737749025028,105773.10157051326,2097850137479.166,72861947201.7898
1737752623718,105218.22708661461,2084743387394.958,61671330060.4463
1737756214447,105090.6031924864,2081928209940.5127,52190467470.88886
1737759628947,104828.41023433676,2079324020423.8052,54027540551.981
1737763405210,104865.34040196025,2077922184453.5635,53506260321.534096
1737767038408,104425.97081052078,2068407945510.5496,51127107248.18642
1737770574081,104682.38613952263,2074240914548.3567,52238958847.02772
1737774233709,104525.98725962896,2071261993829.2314,47791695760.974144
1737777833463,105196.8110903439,2084693098831.9463,50129079325.37122
1737781422032,104739.18830450674,2076288924648.1677,48722919094.145294
1737785022069,104297.64110327902,2067551283411.8496,43047067730.79531
1737788612346,104322.52268544042,2066233637351.1982,46068629775.90698
1737792170178,104351.20375978928,2067823125489.098,43786393328.62617
1737795647056,104318.97199786601,2066607701694.5703,43044125554.43833
1737799418548,104357.26605159743,2067700434163.6152,40436844106.30154
1737802896915,104529.24290738242,2071409486184.1438,35175107381.26211
1737806628655,104629.57499842832,2073087143079.0264,41222949994.45963
1737810220199,104747.03513533014,2076317793289.0308,38395699071.64579
1737813712221,104717.30641848323,2074461843003.087,41051665547.87289
1737817406697,104586.81029852289,2072082757275.7876,37779962915.16148
1737821304330,104882.16753037032,2078420491031.879,32697910928.394024
