timestamp,prices,market_caps,total_volumes
1738296240347,104325.00174294008,2066995040778.033,29353141253.237312
1738299844895,103991.35346005936,2060806204308.0117,28000266035.163265
1738303419901,104285.77813469055,2066385796000.2498,32940063836.878822
1738307027028,104506.3300564099,2070832883912.4705,35863397902.61589
1738310921111,104217.79035004404,2065411902007.7122,28509095825.085934
1738314229222,104030.89604475061,2062640349611.0596,37403828772.40668
1738318115249,104310.04406200137,2066196087542.0693,33715320815.841316
1738321433757,104274.53389246491,2066439135255.361,37339348114.45696
1738325038237,104740.66194955219,2076240839858.6072,33946809860.549797
1738328619917,104668.68597425931,2074121221661.2686,38100622366.93912
1738332238995,104614.28446002454,2072328882804.1284,38343768166.16326
1738335837258,104475.41308585052,2068651171678.9658,33850718634.037865
1738339431787,105480.45394517481,2091055373835.6348,33056793479.31714
1738343004091,105071.25945425681,2081589252107.8606,34644104334.72545
1738346512530,104623.76134295262,2074810208948.7834,31499316826.5201
1738350217911,102524.21520732481,2037005548310.4556,39256489931.29626
1738353822567,102310.35586633568,2028245639231.6992,39431597548.23111
1738357426250,101598.16372711949,2013447407362.377,42495844065.454155
1738361027520,101921.93619140107,2021679509069.2493,45372763898.17131
1738364563624,102231.1283769451,2023592866953.4978,46390618358.545944
1738368221032,102404.93376107872,2029226920291.1497,37366136226.18833
1738371835213,102470.38402887621,2030932639481.3865,42483296885.68748
1738375433898,102512.46698695565,2032431644471.2717,46248883536.45287
1738378938060,102403.77977300351,2031287020915.5964,46043695672.33697
1738382640119,102249.72937645671,2026640317446.256,37219847751.11721
1738386230170,102293.87636307711,2027429410522.027,44716554004.741455
1738389832868,102475.68101584575,2030849839686.854,38468575084.29137
1738393414749,102392.6088536625,2029215419908.2444,40854196148.388084
1738396904168,102185.38756205894,2024374272328.8574,41017867899.581894
1738400432068,101992.51177679887,2020109958891.8381,43170756687.62666
1738404118541,101615.24850144365,2011116353962.8718,40950630637.33616
1738407809726,101592.66990862337,2013571991726.725,44199401579.59235
1738411407151,102019.51548371714,2020795152216.1936,43390671077.62543
1738415294013,102149.95154515926,2024805565450.9731,40263757357.49234
1738418503267,101860.22271648972,2018892168040.9985,42760494494.903145
1738422215304,101823.14984091595,2018191211803.5496,36012347712.763176
1738425826677,102108.3490479744,2023810890278.4912,38898994915.755135
1738429457276,101882.43146116784,2019554845666.6638,36372572010.067406
1738433032509,102239.73795237648,2025967806051.7249,33982983819.328705
1738436628670,101992.1932854985,2021301643105.8303,31529163673.42172
1738440518590,101476.28084876582,2012995142205.3684,27948766656.074245
1738443732714,101341.21144517073,2005707798333.4507,26701827670.974792
1738447601288,101393.69478953844,2007732949790.6438,25369237126.299778
1738451027631,100522.89746094769,1992300478317.287,25233528730.879044
1738454912693,100503.92993660411,1992554585447.9705,25367338078.921898
1738458226645,101237.55570873898,2006349247831.8027,21185081725.01439
1738461826706,101161.8529126038,2004853198752.8284,25624590580.91779
1738465412220,100488.42869471373,1990708006435.527,26840136822.459103
1738469235956,99092.333588406,1965157905742.4265,30869540941.338337
1738472616344,99511.03304807426,1974773534296.998,32800550446.45657
